pair_id,phenomenon,s,s_cf,edit_type,split,token_len_s,token_len_cf,length_delta,abs_length_delta,lexical_jaccard,levenshtein_distance,source_file,source_pair_index,direction,mean_delta_cos,mean_delta_frob,mean_delta_l2,mean_delta_token_aligned,avg_surprisal_s,avg_surprisal_cf,delta_avg_surprisal,abs_delta_avg_surprisal,delta_key_region_surprisal,frob_percentile_in_phenomenon,surprisal_percentile_in_phenomenon
neg_000001,negation,A cat is an animal.,A cat is not a machine.,insert_not,train,5,6,1,1,0.428571,10,NEG-1500-SIMP-GEN.txt,1,forward,0.054202007941710595,0.06705110694428637,28.14972568780948,0.046034177144368464,4.224967956542969,4.173037052154541,-0.0519309043884277,0.0519309043884277,8.234296321868896,0.853,0.06366666666666666
neg_000002,negation,A cat is not a machine.,A cat is an animal.,remove_not,train,6,5,-1,1,0.428571,10,NEG-1500-SIMP-GEN.txt,1,reverse,0.054202007941710595,0.06705110694428637,28.14972568780948,0.046034177144368464,4.173037052154541,4.224967956542969,0.0519309043884277,0.0519309043884277,-8.234296321868896,0.853,0.06366666666666666
neg_000003,negation,A computer is a machine.,A computer is not a person.,insert_not,dev,5,6,1,1,0.5,10,NEG-1500-SIMP-GEN.txt,2,forward,0.04226585382070293,0.05185117933589303,27.782661402836823,0.049261577236346665,4.105493545532227,3.899963140487671,-0.2055304050445556,0.2055304050445556,4.625941038131714,0.257,0.27166666666666667
neg_000004,negation,A computer is not a person.,A computer is a machine.,remove_not,train,6,5,-1,1,0.5,10,NEG-1500-SIMP-GEN.txt,2,reverse,0.04226585382070293,0.05185117933589303,27.782661402836823,0.049261577236346665,3.899963140487671,4.105493545532227,0.2055304050445556,0.2055304050445556,-4.625941038131714,0.257,0.27166666666666667
neg_000005,negation,A book is a text.,A book is not a person.,insert_not,train,5,6,1,1,0.5,9,NEG-1500-SIMP-GEN.txt,3,forward,0.047921724808521714,0.057966189357398626,28.22056136528651,0.05767302597180386,4.373089790344238,3.9439618587493896,-0.4291279315948486,0.4291279315948486,3.321322441101074,0.5063333333333333,0.5223333333333333
neg_000006,negation,A book is not a person.,A book is a text.,remove_not,test,6,5,-1,1,0.5,9,NEG-1500-SIMP-GEN.txt,3,reverse,0.047921724808521714,0.057966189357398626,28.22056136528651,0.05767302597180386,3.9439618587493896,4.373089790344238,0.4291279315948486,0.4291279315948486,-3.321322441101074,0.5063333333333333,0.5223333333333333
neg_000007,negation,A dog is an animal.,A dog is not a plant.,insert_not,train,5,6,1,1,0.428571,8,NEG-1500-SIMP-GEN.txt,4,forward,0.052620473580482635,0.06554477777302693,28.035819513675495,0.04968025134159965,4.001560211181641,4.128612995147705,0.1270527839660644,0.1270527839660644,8.454038143157959,0.8076666666666666,0.17166666666666666
neg_000008,negation,A dog is not a plant.,A dog is an animal.,remove_not,test,6,5,-1,1,0.428571,8,NEG-1500-SIMP-GEN.txt,4,reverse,0.052620473580482635,0.06554477777302693,28.035819513675495,0.04968025134159965,4.128612995147705,4.001560211181641,-0.1270527839660644,0.1270527839660644,-8.454038143157959,0.8076666666666666,0.17166666666666666
neg_000009,negation,A monkey is an animal.,A monkey is not a toy.,insert_not,train,5,6,1,1,0.428571,8,NEG-1500-SIMP-GEN.txt,5,forward,0.0489718730633075,0.061504389627928494,28.15818358384646,0.04033658392408972,4.904787063598633,4.339989185333252,-0.5647978782653809,0.5647978782653809,6.765623688697815,0.653,0.6596666666666666
neg_000010,negation,A monkey is not a toy.,A monkey is an animal.,remove_not,train,6,5,-1,1,0.428571,8,NEG-1500-SIMP-GEN.txt,5,reverse,0.0489718730633075,0.061504389627928494,28.15818358384646,0.04033658392408972,4.339989185333252,4.904787063598633,0.5647978782653809,0.5647978782653809,-6.765623688697815,0.653,0.6596666666666666
neg_000011,negation,A rabbit is an animal.,A rabbit is not a plant.,insert_not,train,5,6,1,1,0.428571,8,NEG-1500-SIMP-GEN.txt,6,forward,0.04856381355187827,0.06128767335101391,27.91634811957677,0.04330693249009611,4.818629264831543,4.373778820037842,-0.4448504447937011,0.4448504447937011,7.776063084602356,0.6476666666666666,0.5396666666666666
